,ID del ticket,Carga del servidor,Experiencia,Tiempo de diagnóstico,Cliente premium,Prioridad,Canal de entrada,Tiempo de resolución
0,TK-100000-2008,48.09,7,40,sí,medio,web,32.3
1,TK-100001-2226,91.3,6,38,no,,correo,37.6
2,TK-100002-2635,74.9,6,36,no,medio,chat,38.4
3,TK-100003-8261,64.9,3,44,no,medio,chat,48.1
4,TK-100004-9515,31.7,7,31,no,medio,web,
5,TK-100005-8529,31.7,5,42,no,bajo,web,35.6
6,TK-100006-2685,24.36,4,22,no,alto,web,26.0
7,TK-100007-4712,84.96,5,28,no,medio,chat,37.1
8,TK-100008-8058,65.08,2,21,sí,bajo,,29.9
9,TK-100009-9733,73.11,6,33,no,alto,correo,31.9
10,TK-100010-3944,21.54,3,35,no,medio,web,29.8
11,TK-100011-2327,92.74,3,36,sí,bajo,correo,38.5
12,TK-100012-6906,82.43,2,35,no,medio,web,44.4
13,TK-100013-9830,35.93,7,28,sí,alto,web,14.0
14,TK-100014-3260,33.64,4,33,no,medio,,26.7
15,TK-100015-2429,33.76,8,23,no,,web,21.7
16,TK-100016-3962,42.82,4,46,sí,medio,web,33.6
17,TK-100017-8386,59.36,2,33,no,medio,,
18,TK-100018-3468,52.4,3,31,no,alto,web,30.2
19,TK-100019-4228,41.84,7,48,no,bajo,,34.9
20,TK-100020-9320,65.89,5,25,no,medio,web,36.4
21,TK-100021-5399,30.46,4,26,sí,bajo,chat,23.3
22,TK-100022-4966,41.91,5,26,no,medio,,
23,TK-100023-6281,47.48,6,34,no,alto,teléfono,20.6
24,TK-100024-6017,54.21,7,38,sí,bajo,web,31.4
25,TK-100025-6155,78.89,8,41,no,medio,web,39.9
26,TK-100026-2250,34.98,4,56,no,medio,web,40.2
27,TK-100027-5688,58.57,3,17,no,medio,correo,25.9
28,TK-100028-5073,64.43,4,40,sí,medio,correo,31.1
29,TK-100029-4787,23.48,5,31,no,medio,chat,24.1
30,TK-100030-6658,65.57,3,30,no,alto,chat,31.2
31,TK-100031-4772,32.79,3,30,no,medio,correo,32.0
32,TK-100032-3212,24.88,6,28,sí,medio,,
33,TK-100033-7867,91.17,5,48,no,,,46.0
34,TK-100034-7963,92.42,5,42,no,alto,web,46.0
35,TK-100035-6693,80.63,4,35,sí,,chat,34.8
36,TK-100036-4991,42.85,5,46,no,bajo,web,42.0
37,TK-100037-3187,27.33,3,23,no,medio,chat,18.1
38,TK-100038-4032,71.32,7,24,sí,medio,correo,18.8
39,TK-100039-4903,53.01,7,18,sí,alto,correo,14.1
40,TK-100040-9220,29.15,2,29,no,bajo,web,
41,TK-100041-4670,57.14,3,36,no,alto,teléfono,31.3
42,TK-100042-6727,22.58,2,36,sí,alto,correo,23.2
43,TK-100043-5894,88.2,4,36,sí,medio,web,38.8
44,TK-100044-6518,39.41,5,24,no,,web,21.9
45,TK-100045-3336,69.69,2,41,no,bajo,web,44.3
46,TK-100046-4323,43.38,3,37,sí,bajo,correo,29.2
47,TK-100047-8120,59.01,3,41,no,alto,,42.4
48,TK-100048-8859,61.0,5,20,sí,medio,teléfono,19.5
49,TK-100049-1099,33.86,5,37,no,,,23.8
50,TK-100050-4656,92.72,4,25,no,medio,web,39.2
51,TK-100051-7786,78.13,5,32,no,alto,teléfono,28.5
52,TK-100052-1693,90.46,4,39,sí,medio,web,39.5
53,TK-100053-5801,87.11,5,36,no,medio,,38.3
54,TK-100054-9209,64.84,8,28,no,medio,web,32.7
55,TK-100055-4709,89.14,7,35,no,medio,web,41.2
56,TK-100056-3770,26.64,3,23,no,bajo,web,25.6
57,TK-100057-2030,34.7,6,44,sí,,chat,
58,TK-100058-5475,23.39,6,33,no,medio,web,27.8
59,TK-100059-5209,44.4,3,0,no,medio,web,19.4
60,TK-100060-7995,49.15,6,31,no,medio,web,28.6
61,TK-100061-2619,40.35,8,31,no,bajo,web,28.3
62,TK-100062-3516,82.16,3,29,no,bajo,,36.3
63,TK-100063-8995,46.76,3,42,sí,bajo,correo,30.4
64,TK-100064-2125,41.07,7,29,no,bajo,chat,30.3
65,TK-100065-9684,60.7,5,40,no,medio,web,42.5
66,TK-100066-7906,30.57,6,32,no,medio,web,27.7
67,TK-100067-6604,80.16,6,19,no,medio,teléfono,27.8
68,TK-100068-4036,25.59,6,30,no,medio,teléfono,22.1
69,TK-100069-3526,94.02,3,26,sí,bajo,web,
70,TK-100070-1166,77.92,7,35,sí,medio,correo,30.7
71,TK-100071-5189,34.9,7,25,sí,bajo,chat,25.4
72,TK-100072-8348,20.41,5,42,no,bajo,web,35.4
73,TK-100073-1575,81.16,5,34,sí,bajo,teléfono,37.2
74,TK-100074-8171,73.01,2,34,sí,alto,web,27.6
75,TK-100075-9797,74.68,6,40,no,medio,chat,41.4
76,TK-100076-4343,77.85,6,43,no,alto,,36.5
77,TK-100077-2818,25.55,5,35,no,,web,29.0
78,TK-100078-7023,46.88,7,29,no,,correo,24.1
79,TK-100079-8979,28.69,4,21,no,medio,chat,15.9
80,TK-100080-6171,84.73,6,30,sí,bajo,teléfono,28.6
81,TK-100081-6409,66.75,3,30,no,bajo,web,39.8
82,TK-100082-5541,44.82,5,36,no,alto,correo,32.3
83,TK-100083-7380,24.77,5,32,no,medio,correo,23.0
84,TK-100084-4860,43.32,5,41,no,bajo,web,
85,TK-100085-2514,44.39,4,30,no,bajo,web,31.8
86,TK-100086-2067,74.72,5,35,no,alto,correo,35.5
87,TK-100087-1881,67.82,6,44,sí,alto,correo,32.4
88,TK-100088-7909,86.54,4,38,no,medio,web,
89,TK-100089-6032,55.42,2,35,sí,bajo,chat,37.0
