,folio_ticket,carga_servidor,experiencia_agente,tiempo_diagnostico,es_cliente_premium,prioridad,canal_entrada,tiempo_resolucion_horas
0,TK-100000-2008,48.090508913552185,6.90788549128392,39.91016684631927,1,1.0,2.0,32.30756323940799
1,TK-100001-2226,91.30357298074371,6.110610709238055,38.00364686101802,0,,0.0,37.58912315549457
2,TK-100002-2635,74.89954563585539,6.23042478176086,36.340560846407925,0,1.0,1.0,38.435782556167375
3,TK-100003-8261,64.89938631477774,2.5412797198390384,44.298076780045335,0,1.0,1.0,48.06538567110216
4,TK-100004-9515,31.70139803318274,7.181499173695521,30.68327023410295,0,1.0,2.0,
5,TK-100005-8529,31.699589025215197,5.470250956220941,42.1592844482146,0,0.0,2.0,35.6268204527441
6,TK-100006-2685,24.35627091261496,4.335301149356834,21.94388091978866,0,2.0,2.0,25.988540337448434
7,TK-100007-4712,84.96321093312014,5.258099241216052,27.760417336495472,0,1.0,1.0,37.0541926010336
8,TK-100008-8058,65.08362588074067,1.802776580783024,20.54366884054547,1,0.0,,29.94231546608885
9,TK-100009-9733,73.10544333470341,5.735575060665208,32.80123759464166,0,2.0,0.0,31.94465053525917
10,TK-100010-3944,21.543837072185184,3.147131285272271,34.62991026186926,0,1.0,2.0,29.757530696257316
11,TK-100011-2327,92.74323891214958,2.565193485481638,35.91281193781216,1,0.0,0.0,38.47040812669488
12,TK-100012-6906,82.43319806003163,2.2597534648077957,35.49506682309708,0,1.0,2.0,44.374445060437836
13,TK-100013-9830,35.92543330087071,7.002839074981866,27.579573353506177,1,2.0,2.0,13.992095714633495
14,TK-100014-3260,33.63687254053255,3.86732589135298,33.47807324469427,0,1.0,,26.65203277471504
15,TK-100015-2429,33.755338239007536,7.760709877849699,23.02042665115401,0,,2.0,21.737481100013508
16,TK-100016-3962,42.81816822196533,4.035557366505864,45.905831801058,1,1.0,2.0,33.57431556972536
17,TK-100017-8386,59.35673237241784,1.9267556763326956,32.57099141681599,0,1.0,,
18,TK-100018-3468,52.395876398158684,2.9902560080924134,31.08891104765047,0,2.0,2.0,30.21777939160179
19,TK-100019-4228,41.84218551485314,7.2244609160124895,47.71152262755266,0,0.0,,34.866666634606666
20,TK-100020-9320,65.88896710417846,4.719383279713998,25.062027731606165,0,1.0,2.0,36.37781570224338
21,TK-100021-5399,30.462039548903135,4.0130828663169185,25.995303087744247,1,0.0,1.0,23.287555476021993
22,TK-100022-4966,41.91084864014136,5.288032806535018,26.23023740105148,0,1.0,,
23,TK-100023-6281,47.47713824702688,5.903208925101581,34.457028946404144,0,2.0,3.0,20.639155536224855
24,TK-100024-6017,54.205248816277695,7.011317868624429,38.45305303710078,1,0.0,2.0,31.35939434141055
25,TK-100025-6155,78.88819710447602,7.607298613807267,40.91740374494267,0,1.0,2.0,39.90845697108503
26,TK-100026-2250,34.97553366187698,4.352416437579645,55.57596253995975,0,1.0,2.0,40.18649499875324
27,TK-100027-5688,58.56758288102087,2.613114165052331,17.00454036639389,0,1.0,0.0,25.88601917707462
28,TK-100028-5073,64.43109266465319,4.255762709978103,39.869884712995336,1,1.0,0.0,31.117201950054877
29,TK-100029-4787,23.48378095399983,5.468504911849195,30.54295541942215,0,1.0,1.0,24.08841890880329
30,TK-100030-6658,65.56586389260788,3.2652339328209004,30.308678808889812,0,2.0,1.0,31.248228289485546
31,TK-100031-4772,32.78930927654687,3.277128353188923,30.04182297396898,0,1.0,0.0,32.04935883516148
32,TK-100032-3212,24.878869473895964,5.6188181867897935,27.729842633536215,1,1.0,,
33,TK-100033-7867,91.16641529399999,4.912425767173188,48.476198676827615,0,,,46.003820317699656
34,TK-100034-7963,92.42240248059196,5.059034591740856,41.73837861611122,0,2.0,2.0,45.98893391158827
35,TK-100035-6693,80.62980110873458,3.6347083975398746,35.185567828459,1,,1.0,34.84124547826376
36,TK-100036-4991,42.8460326880028,4.585278714429619,45.808126019896,0,0.0,2.0,42.03101152248203
37,TK-100037-3187,27.32540855047879,3.336380340317052,22.899768277608995,0,1.0,1.0,18.130779311751347
38,TK-100038-4032,71.31747698841177,6.602357140024616,24.35435894935259,1,1.0,0.0,18.82465656533321
39,TK-100039-4903,53.0114370304701,6.863448802502755,17.576258142442498,1,2.0,0.0,14.063445788432057
40,TK-100040-9220,29.15286761335841,1.676861847971431,29.4046836790137,0,0.0,2.0,
41,TK-100041-4670,57.13826825834526,3.326880451653662,36.293588213638024,0,2.0,3.0,31.26821010558858
42,TK-100042-6727,22.57913908364138,2.3062473408378574,35.822868623458675,1,2.0,0.0,23.15238112178757
43,TK-100043-5894,88.19903015590866,3.829956918067583,36.194735288479045,1,1.0,2.0,38.783670448278066
44,TK-100044-6518,39.40849862000127,4.84981165437735,23.711545351471344,0,,2.0,21.879539738554367
45,TK-100045-3336,69.68917132654865,2.3906386045426458,41.425237940912176,0,0.0,2.0,44.29963275564515
46,TK-100046-4323,43.378330706705825,3.3406523363744363,36.917020145911984,1,0.0,0.0,29.221761490929957
47,TK-100047-8120,59.00510158833581,3.1928767302533028,40.864434251727985,0,2.0,,42.436271726703616
48,TK-100048-8859,61.00327095074597,5.373081192918099,19.857902579279585,1,1.0,3.0,19.48559262694171
49,TK-100049-1099,33.86408416441453,5.124819806665251,37.49192687038232,0,,,23.77719069421839
50,TK-100050-4656,92.7188470823419,3.700872403992944,25.497878080659785,0,1.0,2.0,39.244430442577276
51,TK-100051-7786,78.1349617520836,5.318277569850917,31.821413979589106,0,2.0,3.0,28.528890879079004
52,TK-100052-1693,90.46242061731418,4.015975847742922,39.274919189091065,1,1.0,2.0,39.53450424690726
53,TK-100053-5801,87.11205128207366,4.511020801413104,35.7287488500473,0,1.0,,38.252785003126164
54,TK-100054-9209,64.84249841083138,8.012213762537368,28.18768016176545,0,1.0,2.0,32.65321585536366
55,TK-100055-4709,89.14056762673376,7.412829893222627,35.05018524947535,0,1.0,2.0,41.22134854550496
56,TK-100056-3770,26.636937653893963,2.6607537735303244,22.747717478050856,0,0.0,2.0,25.59533629272458
57,TK-100057-2030,34.69871468143589,6.493518352182514,44.20213916718637,1,,1.0,
58,TK-100058-5475,23.392046668290355,6.4605137980848655,33.35772784402999,0,1.0,2.0,27.798492451017612
59,TK-100059-5209,44.399774807244825,2.933126080245287,0.0,0,1.0,2.0,19.3988435503768
60,TK-100060-7995,49.15079672671115,6.47379975875875,30.787746503231656,0,1.0,2.0,28.57432156353905
61,TK-100061-2619,40.35117738304219,7.768277453142595,30.811392092747337,0,0.0,2.0,28.330567706196067
62,TK-100062-3516,82.1553131863947,2.979419348760055,28.88650570689723,0,0.0,,36.28122637181437
63,TK-100063-8995,46.756499502019196,3.3484949221743254,42.0093914535446,1,0.0,0.0,30.414521430961784
64,TK-100064-2125,41.07008822655356,6.831790640318305,29.324550741372192,0,0.0,1.0,30.260547487334975
65,TK-100065-9684,60.70220623686863,5.488691559486166,40.15676345932141,0,1.0,2.0,42.4949072395922
66,TK-100066-7906,30.569316873107198,5.992657295431142,31.94038081864568,0,1.0,2.0,27.662467368156047
67,TK-100067-6604,80.16477355655297,5.613060589520894,19.192293600867043,0,1.0,3.0,27.760346706907406
68,TK-100068-4036,25.591298275982812,5.703252657670659,30.437487457708272,0,1.0,3.0,22.088056677354565
69,TK-100069-3526,94.01652024503879,2.6123501690400506,25.567134285097215,1,0.0,2.0,
70,TK-100070-1166,77.9183576972493,6.885171871918607,35.2712217894587,1,1.0,0.0,30.746456939930074
71,TK-100071-5189,34.90367611506293,7.105261986369992,25.47673811460408,1,0.0,1.0,25.38266297949749
72,TK-100072-8348,20.414158784270178,4.58709666067755,42.40780080571693,0,0.0,2.0,35.386844914170034
73,TK-100073-1575,81.15960713411256,4.921741490335048,34.27139311717578,1,0.0,3.0,37.245836677626905
74,TK-100074-8171,73.01430078857129,2.2440064953997,33.57923204193009,1,2.0,2.0,27.55910865825551
75,TK-100075-9797,74.67553760307405,5.925658560832103,40.24713710230066,0,1.0,1.0,41.43243941494584
